#,ブランド,ライン,製品名,カテゴリ,主要悩み(先頭5件),容量,メーカー,推奨対象,特徴サマリー,商品ID
1,Aujua,アクアヴィア,アクアヴィア シャンプー,シャンプー,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250mL / 500mL / 1L パック,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-sh
2,Aujua,アクアヴィア,アクアヴィア ヘアトリートメント,トリートメント,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250g / 500g / 1L パック,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-tr
3,Aujua,アクアヴィア,アクアヴィア ヘアニュートリエント,ヘアマスク,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250g,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-mask
4,Aujua,アクアヴィア,アクアヴィア モイストセラム,アウトバスミルク,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,モイストセラム 100mL,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-out
5,Aujua,イミュライズ,イミュライズ シャンプー,シャンプー,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250mL / 500mL / 1L パック,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-sh
6,Aujua,イミュライズ,イミュライズ ヘアトリートメント,トリートメント,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250g / 500g / 1L パック,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-tr
7,Aujua,イミュライズ,イミュライズ ヘアニュートリエント,ヘアマスク,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250g,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-mask
8,Aujua,イミュライズ,イミュライズ エクシードセラム,アウトバスミルク,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,エクシードセラム 100mL,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-out
9,Aujua,インメトリィ,インメトリィ シャンプー,シャンプー,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,250mL / 500mL / 1L パック,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-sh
10,Aujua,インメトリィ,インメトリィ ヘアトリートメント,トリートメント,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,250g / 500g / 1L パック,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-tr
11,Aujua,インメトリィ,インメトリィ コントロール クリーム,ヘアマスク,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,コントロール クリーム 110g,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-mask
12,Aujua,インメトリィ,インメトリィ ミルク,アウトバスミルク,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,インメトリィ ミルク 100mL,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-out
13,Aujua,エイジングスパ,エイジングスパ クリアフォーム,スカルプクレンザー,薄毛抜け毛 / ハリコシ不足 / 細毛 / 軟毛 / ボリューム不足,250mL / 500mL / 1L パック,ミルボン,エイジングによる頭皮の乾燥、ボリューム低下、ハリ・コシ不足が気になる方に。,地肌ケアに着目した処方が、頭皮を整え、根元からふんわり立ち上がる質感を引き出します。,aujua-agingspa-sh
14,Aujua,エイジングスパ,エイジングスパ シャンプー,シャンプー,薄毛抜け毛 / ハリコシ不足 / 細毛 / 軟毛 / ボリューム不足,クリアフォーム 200g,ミルボン,エイジングによる頭皮の乾燥、ボリューム低下、ハリ・コシ不足が気になる方に。,地肌ケアに着目した処方が、頭皮を整え、根元からふんわり立ち上がる質感を引き出します。,aujua-agingspa-sh-2
